stageId,data.type,data.constants,data.answers
BDibm32oryarQKJ5P,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""L8LLBEXDNZW7xafX3"",""word"":""BLUE vs. RED""},{""name"":""L8LLBEXDNZW7xafX3"",""word"":""YELLOW vs. BLACK""}"
XvJjqPfNwwDwj7mrM,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""L8LLBEXDNZW7xafX3"",""word"":""SWEET vs. SOUR""},{""name"":""L8LLBEXDNZW7xafX3"",""word"":""SEEDS vs. SEEDLESS""},{""name"":""L8LLBEXDNZW7xafX3"",""word"":""YELLOW vs. RED""}"
cvKcQL7r2SYBzLFSA,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""L8LLBEXDNZW7xafX3"",""word"":""VEGETABLES vs. FRUITS""},{""name"":""L8LLBEXDNZW7xafX3"",""word"":""HARD vs. SOFT""},{""name"":""L8LLBEXDNZW7xafX3"",""word"":""SINGULAR vs. PLURAL""}"
nGMokBsZMT4S9qKXh,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""L8LLBEXDNZW7xafX3"",""word"":""DRY vs. MOIST""},{""name"":""L8LLBEXDNZW7xafX3"",""word"":""COLD vs. HOT""}"
NvTbTAzaYpe4DHSpH,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Red vs. Blue""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""from ground vs. from bush""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Starts with B vs. Doesn't Start with B""}"
kLEGFZLXBMFYpubfr,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""turhjKzSJxgMtwxFx"",""word"":""sweet  vs. sour""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Melon vs. Citrus""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Big vs. Small""},{""name"":""bbTLoWQcLarwFiWmG"",""word"":""tree vs vine vs.""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""From a tree vs. From the ground""}"
WqKHfxd8coszrExoN,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""7Er7PfRwRM55FSSA7"",""word"":""contains water vs. doesn't not contain water""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Green vs. Grey""},{""name"":""bbTLoWQcLarwFiWmG"",""word"":""underground  vs. above""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Crunchy vs. Soft""},{""name"":""turhjKzSJxgMtwxFx"",""word"":""leafy green vs. spinach""},{""name"":""turhjKzSJxgMtwxFx"",""word"":""red vs. orange""}"
iRopcjRQrHtzZAK3a,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""turhjKzSJxgMtwxFx"",""word"":""junk vs. healthy""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""desert vs. snack""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Cold vs. Hot""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""On the counter vs. On the fridge""},{""name"":""7Er7PfRwRM55FSSA7"",""word"":""Baked vs. cooked""}"
tNCQjo26dPmuBtbkN,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""3aPnGNZCyrLDepZm3"",""word"":""Blue vs. Red""},{""name"":""fNwndTGyZYK97FWkf"",""word"":""seeds inside vs. seeds outside""},{""name"":""3aPnGNZCyrLDepZm3"",""word"":""Bush vs. Vine""}"
g4dv3vfLdsyiqf4Bn,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""fNwndTGyZYK97FWkf"",""word"":""tree vs. vine""},{""name"":""3aPnGNZCyrLDepZm3"",""word"":""Citrus vs. Non Citrus""},{""name"":""3yYWrr3C5rsgMR59S"",""word"":""acid vs. non acid""},{""name"":""fNwndTGyZYK97FWkf"",""word"":""tree vs. ground""},{""name"":""3aPnGNZCyrLDepZm3"",""word"":""Stone vs. No Stone""}"
LAzXFdqxAPiWYtHHS,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""3aPnGNZCyrLDepZm3"",""word"":""Green vs. Not Green""},{""name"":""fNwndTGyZYK97FWkf"",""word"":""vegetable vs. fungus""},{""name"":""h77peHcqhQpcDaKSo"",""word"":""ground vs. above ground""},{""name"":""fNwndTGyZYK97FWkf"",""word"":""seeds vs. seedless""},{""name"":""3yYWrr3C5rsgMR59S"",""word"":""Starting with \""C\"" vs. Not Starting with \""C\""""},{""name"":""fNwndTGyZYK97FWkf"",""word"":""vines vs. no vine""}"
e6PW86T7pP7E46rSo,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""fNwndTGyZYK97FWkf"",""word"":""baked vs. fried""},{""name"":""fNwndTGyZYK97FWkf"",""word"":""dessert vs. breakfast""},{""name"":""3aPnGNZCyrLDepZm3"",""word"":""spoon vs. hand""},{""name"":""fNwndTGyZYK97FWkf"",""word"":""cake vs. dipped""}"
bm5YYiZ9cwQNpQtDo,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""red vs. blue""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Black vs. Blue""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""sweet vs. sour""}"
sgkcRkJ2dLapRdPBF,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Large vs. Small""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""sweet vs. sour""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Yellow vs. Red""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""blue vs. orange""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Soft vs. Firm""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""green vs. orange""}"
TWqYn4XX6nuiX2TMJ,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Green vs. White""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Soft vs. Crunchy""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""green vs. red""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""narrow vs. round""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Leafy vs. Solid""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Long vs. Round""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""very small vs. medium""}"
